Name,Note,Manufacturer,Price/g,IFRA (%),IFRA Code,Description
Bergamot Givco 104,Top,Givco,0.4,0,n/a,"Citrus, Fruity, Bergamot Oil with superior stability and performance."
Bergamot Organic ,,Manufacturer,2.53,0,n/a,
Beta Damascone,,Manufacturer,1.39,0,n/a,
Beta Ionone,,Manufacturer,0.64,0,n/a,
BHT,,Manufacturer,0.15,0,n/a,
Birch Tar Absolute,,Manufacturer,0,0,n/a,
Birch Tar Rectified,,Manufacturer,0.53,0,n/a,
Black Cherry HS/1914,,Manufacturer,0.64,0,n/a,
Bornafix (IFF),Middle,IFF,0.94,0,128119-70-0,"Amber, warm, woody. Good support for most florals."
Butyl Quinoline Secondary,,Manufacturer,0.81,0,n/a,
Cajeput,Middle,Manufacturer,0,0,n/a,
Calone 1951 Crystals,Base,Firmenich,1.38,0,28940-11-6,Fresh watery clean melon green marine ozone phenolic.
Calone liquid @ 10%,Base,Firmenich,1.38,0,28940-11-6,Fresh watery clean melon green marine ozone phenolic.
Caryophyllene Formate,,Manufacturer,0.62,0,n/a,
Cashmeran,Base,IFF,0.43,3.8,33704-61-9,Rich spicy musk woody clean.
Cashmeran Velvet,,Manufacturer,0.29,0,n/a,
Cassis Base,,Manufacturer,0.37,0,n/a,
Castoreum (synthetic),Base,Manufacturer,0,0,n/a,"Animal, Leather, Castoreum Extract."
Castoreum Givco 116/5,,Manufacturer,1.39,0,n/a,
"Cedarwood, Atlas",,Manufacturer,0.17,0,n/a,
"Cedarwood, Texas",,Manufacturer,0.91,0,n/a,
"Cedarwood, Virginian (aged)",,Manufacturer,1.29,0,n/a,
"Cederwood, Virginian",,Manufacturer,0.1,0,n/a,
Cedramber,Base,Manufacturer,0.15,0,67874-81-1,Woody dry cedar ambergris.
Cedroxyde,,Manufacturer,0.28,0,n/a,
Cedryl Acetate,,Manufacturer,0.55,0,n/a,
Cilantro Oil,,Manufacturer,0.7,0,n/a,
Cinnamic alcohol,Base,Manufacturer,0,1.2,104-54-1,"Cinnamon spice, floral, green and fermented with powdery balsamic nuances."
Cis-3-Hexenol,Top,Manufacturer,0.57,0,928-96-1,Fresh green cut grass foliage vegetable herbal oily.
Cis-3-Hexenyl Acetate,Top,Manufacturer,0.4,0,3681-71-8,Fresh green cut grass foliage vegetable herbal oily.
Cis-3-Hexenyl Salicylate,,Manufacturer,0.32,0,n/a,
Cis-6-Nonenol 1% in DPG,,Manufacturer,0.44,0,n/a,
Cis-Jasmone,,Manufacturer,0.67,0,n/a,
Citral Dimethyl Acetal,Top,IFF,0.43,0,7549-37-3,"Fresh, juicy, Iemon peel, with a sweet tangy green nuance."
Citronellol,Middle,Manufacturer,0,12,106-22-9,Floral leather waxy rose bud citrus.
Citronellyl Acetate,,Manufacturer,0.53,0,n/a,
Civet (synthetic),,Manufacturer,1,0,n/a,"Animalic, powdery, scatol, leathery, powerful."
Clearwood,,Manufacturer,0.25,0,n/a,
Cocoa Hexenal,,Manufacturer,0.12,0,n/a,
Coffee Difuran,,Manufacturer,0.64,0,n/a,
Coniferan 99,,Manufacturer,0.55,0,n/a,
Copaiba Balsam,,Manufacturer,0.38,0,n/a,
Coranol,,Manufacturer,0.45,0,n/a,
Corps Pamplemousse Thiocineole,,Manufacturer,0.76,0,n/a,
Coumarex DB (IFF),Base,IFF,0.81,0,Mixture,"Sweet, balsam, coumarin, fruity, tobacco, hay, woody, nutty, tonka."
Coumarin,Base,Manufacturer,0.71,1.5,91-64-5,Sweet hay tonka new mown hay.
Cumin Nitrile 10% in DPG,,Manufacturer,0.5,0,n/a,
Cyclamen Aldehyde,Middle,Manufacturer,0.16,0.95,103-95-7,Floral cyclamen fresh rhubarb musty green.
Cyclohexyl Crotonate,,Manufacturer,0.62,0,n/a,
Damascone Alpha,Middle,Perfumers Apprentice,0.73,43,24720-09-0,Floral rose apple fruity black currant.
Delta Decalactone,,Manufacturer,0.7,0,n/a,
Dibenzyl Ether,,Manufacturer,0.38,0,n/a,
Diethyl Succinate,,Manufacturer,0.89,0,n/a,
Dihydromyrcenol,Top,Perfumers Apprentice,0.73,0,18479-58-8,"Fresh citrus, lime, clean, fresh, weedy, cologne, floral, lavender lasts several hours(Cool Water)."
Dimethyl Benzyl Carbinol Acetate 50%,,Manufacturer,0.19,0,n/a,
Dimetol,Middle,Manufacturer,0.1,0,13254-34-7,Fresh dihydrolinalool floral woody citrus herbal.
Earthy Pyrazine 0.1% in IPM,,Manufacturer,0.97,0,n/a,
Ebanol,Base,Perfumers Apprentice,0.4,0,67801-20-1,"Woody, Sandalwood, Musky, Powerful."
Ethyl Alcohol,,Manufacturer,0,0,64-17-5,Diluant.
Ethyl Alcohol (99.5%),,High Impact,0.02,0,64-17-5,Diluant.
Ethyl Cinnamate,,Manufacturer,0.5,0,n/a,
Ethyl linalool,Middle,Manufacturer,0.18,0,10339-55-6,Fresh bois de rose herbal wet green lavender bergamot.
Ethyl Linalyl Acetate,,Manufacturer,0.2,0,n/a,
Ethyl Maltol,Base,Manufacturer,0.21,0,4940-11-8,Sweet caramel jam strawberry cotton candy.
Ethyl Methyl 2 Butyrate,Top,Manufacturer,0.11,0,105-54-4,Fruity juicy fruit pineapple cognac.
Ethyl Pelargonate,,Manufacturer,0.5,0,n/a,
Ethyl Propionate,,Manufacturer,0.17,0,n/a,
Ethyl Vanillin,Base,Manufacturer,0.09,0,121-32-4,"Sweet, creamy, vanilla, with a root berry salicylate-like nuance."
Ethylene Brassylate,Base,Perfumers Apprentice,0.73,0,105-95-3,"Powdery, sweet, floral and ambrette-like with woody, spicy and vanilla nuances."
Eucalyptus Peppermint,Top,Manufacturer,0,0,n/a,
Eugenol,Middle,Manufacturer,0.2,2.5,97-53-0,Sweet spicy clove woody.
Exaltolide,Base,Manufacturer,0,0,106-02-5,Musk animal powdery natural fruity.
Farnesol,Base,Manufacturer,0,1.2,4602-84-0,Mild fresh sweet linden floral angelica.
Filbertone ,,Manufacturer,0.71,0,n/a,
Fixateur 505,Base,Manufacturer,3.22,0,n/a,Ambergris old wood musty cistus fecal animal.
Fixateur 505 E,,Manufacturer,0.97,0,n/a,
Floralozone,Middle,Perfumers Apprentice,0.73,0,67634-15-5,"Ozone, clean, fresh, green, marine, floral, aldehydic."
Florhydral,Middle,Perfumers Apprentice,0.53,0,125109-85-5,"Floral, green, muguet, linden flower, lily of the valley, fresh, powerful."
Fructone,,Manufacturer,0.4,0,n/a,
Furfural,,Manufacturer,0.62,0,n/a,
Galaxolide 50,Base,Manufacturer,0.09,0,1222-05-5,Strong diffusive sweet floral musk.
Galbanum Resinoid,,Manufacturer,0.51,0,n/a,
Gamma-Octalactone,,Manufacturer,0.17,0,n/a,
Gardocyclene,,Manufacturer,0.57,0,n/a,
Geosmine,,Manufacturer,0.47,0,n/a,
Geraniol,Middle,Perfumers Apprentice,0.73,4.7,106-24-1,"Fruity, waxy, floral, sweet, rosey and citronella-like with a citrus nuance."
Geranyl Acetate,Middle,Manufacturer,0.15,0,105-87-3,"Floral, rosy, waxy, herbal and green with a slight cooling nuance."
Granny Smith 109967 G,,Manufacturer,0.65,0,n/a,
Green Mandarin Oil,,Manufacturer,0.27,0,n/a,
Guaiacol 1% in EtOH,,Manufacturer,0.61,0,n/a,
Gurjun Balsam,,Manufacturer,0.51,0,n/a,
Habanolide,,Manufacturer,0.21,0,n/a,
Hedione,Base,Manufacturer,0.07,0,24851-98-7,"Sweet, fruity, floral, citrus lemon and grapefruit-like, woody jasmine and green."
Helional,Base,Manufacturer,0.12,2.6,1205-17-0,Watery fresh green ozone cyclamen hay.
Heliotropex N,Top,Perfumers Apprentice,0.37,0,n/a,"Deep exotic floral, with sweet, balsamic, spicy undertones, nuances of almond and berries."
Heliotropine Diethyl Acetal,,Manufacturer,0.41,0,n/a,
Hexyl Cinnamaldehyde,Base,Perfumers Apprentice,0.2,9.9,101-86-0,"Sweet, floral, green, citrus and fruity with powdery tropical spicy notes."
Hexyl Isobutyrate,,Manufacturer,0.6,0,n/a,
Ho Wood Oil Chinese,,Manufacturer,0.16,0,n/a,
Homofuraneol 10% Augeo CM,,Manufacturer,0.75,0,n/a,
Hydroxycitronellal,Base,Manufacturer,0.16,2.1,107-75-5,Sweet floral perfume-like notes with green citrus and melon undertones.
Indole,Base,Manufacturer,0.27,0,120-72-9,"Pungent, floral, slightly naphtha and mothball like with a fecal and animalic musty."
Ionone alpha,Base,Manufacturer,0,0,127-41-3,Sweet woody floral violet orris tropical fruity.
Ionone beta,Middle,Manufacturer,0,0,14901-07-6,Floral woody sweet fruity berry tropical beeswax.
Iso E Super (IFF),Base,Perfumers Apprentice,0.68,20,54464-57-2,"Woody, Floral, Ambergris."
Iso Mohanol,,Manufacturer,0.9,0,n/a,
Isoamyl Propionate,,Manufacturer,0.22,0,n/a,
Isobutol Quinolene,,Manufacturer,0,0,n/a,
Isobutyl Phenylacetate,,Manufacturer,0.3,0,n/a,
Isoraldeine 95,,Manufacturer,0.13,0,n/a,
Jasmone cis,,Manufacturer,0,0,n/a,
Juniper Needle Oil ,,Manufacturer,1.97,0,n/a,
Kephalis,Middle,Manufacturer,0.31,0,36306-87-3,Woody old wood amber tobacco hot herbal.
Labdanum Absolute,,Manufacturer,0.41,0,n/a,
Laevo-Linalool,,Manufacturer,0,0,n/a,"Citrus,  Lavender."
Lavender 40/42,,Manufacturer,0,0,n/a,
Lilial,Middle,Manufacturer,0,1.4,80-54-6,Floral muguet watery green powdery cumin.
Limonene D,Top,Perfumers Apprentice,0.53,0,5989-27-5,"Sweet, citrus and peely."
Linalool,Middle,Perfumers Apprentice,0.26,0,78-70-6,"Lavender, Citrus, orange, floral, terpy, waxy and rose."
Linalyl Acetate,Middle,Perfumers Apprentice,0.6,0,115-95-7,"Sweet, green, floral and spicy with a clean, woody, terpy and citrus nuance."
Lindenol,,Manufacturer,0,0,n/a,
Magnolan,,Manufacturer,0.62,0,n/a,
Manzanate,,Manufacturer,0.11,0,n/a,
Melonal,Middle,Manufacturer,0.32,0,106-72-9,Fresh ozone melon fresh air sweet clean green.
Methyl anthranylate,Middle,Manufacturer,0.1,0,134-20-3,"Fruity, concord grape, musty with a floral powdery nuance."
Methyl Diantilis,,Manufacturer,0.93,0,n/a,
Methyl Ionone,Base,Manufacturer,0,30,1335-46-2,Orris violet powdery woody.
Methyl laitone,Base,Manufacturer,0.43,0,94201-19-1,Lactonic coconut meadow tropical creamy dairy plum.
Methyl pamplemousse,Top,Manufacturer,0.18,0,67674-46-8,Fresh citrus grapefruit peel soapy woody green violet.
Methyl salicylate,Middle,Manufacturer,0.14,0,119-36-8,"Sweet, salicylate, root beer, wintergreen, aromatic, slightly phenolic and camphoreous."
Milk Lactone Super,,Manufacturer,0.99,0,n/a,
Musk Ketone Subs,Base,Manufacturer,0.15,0,81-14-1,Fatty musk soapy dry powdery.
Mysore Acetate ,,Manufacturer,0.25,0,n/a,
Nectarate,Base,Manufacturer,0.07,0,113889-23-9,Fruity green peach orchid balsam woody.
Nerol,Middle,Manufacturer,0,0,106-25-2,"Fresh, citrus, floral, green, sweet, Iemon/lime and waxy with a spicy depth."
Nerolin Yara Yara,,Manufacturer,0.19,0,n/a,
Norlimbanol,Base,Manufacturer,0.73,0,70788-30-6,Dry sawdust woody powdery amber sandalwood.
Oak Moss Absolute,,Manufacturer,0,0,n/a,
Olibanum Oleoresin,,Manufacturer,0.11,0,n/a,
Orange Blood,,Manufacturer,0.18,0,n/a,
Orange Terpenes (d-limonene),Top,Manufacturer,0.14,0,68647-72-3,Fresh juicy sweet orange
Oranger Crystals,Base,Manufacturer,0,0.2,93-08-3,Sweet neroli orange blossom neroli powdery.
Ortho Cresol 10% in DPG,,Manufacturer,0.56,0,n/a,
Oud Synthetic 0170760E,,Manufacturer,0.64,0,n/a,
Oxane 10% in IPM & TEC,,Manufacturer,0.75,0,n/a,
Padma,Base,Manufacturer,0.18,0,101-48-4,Green foliage floral rosy earthy mushroom.
Para Cresol 10% in DPG,,Manufacturer,0.76,0,n/a,
Para Tolualdehyde,,Manufacturer,0.75,0,n/a,
Paradisamide,,Manufacturer,0.33,0,n/a,
"Patchouli, light",,Manufacturer,0,0,n/a,
Peonile,,Manufacturer,0,0,n/a,
Peppermint EO (Boulder SX960067),,Manufacturer,1.08,0,n/a,
Phenoxanol,,Manufacturer,0.81,0,n/a,
Phenoxyethyl isobutyrate,,Manufacturer,0.08,0,n/a,
Phenoxyethyl Proprionate,,Manufacturer,0.52,0,n/a,
Phenyl Acetaldehyde Glyceryl Acetals,,Manufacturer,0.81,0,n/a,
Phenyl Ethyl Acetate,Middle,Manufacturer,0.1,0,103-45-7,Floral rose sweet honey fruity tropical.
Phenyl Ethyl Alcohol,Middle,Manufacturer,0.14,0,60-12-8,"Sweet, floral, freeh and bready with a rosey honey nuance."
Phenylacetaldehyde,Base,Manufacturer,0,0.25,122-78-1,"Honey, floral rose, swaat, powdery, fermented, chocolate, slight earthy nuance."
Phenylethyl Tigilate,,Manufacturer,0.91,0,n/a,
Pine Black,,Manufacturer,0,0,n/a,
Pivarose / Phenylethyl Pivalate,,Manufacturer,0.62,0,n/a,
Polysantol,,Manufacturer,1.05,0,n/a,
Raspberry Ketone,Base,Manufacturer,0,1,5471-51-2,"Berry, sweet, woody and raspberry with a ripe, jammy, seedy character."
Romandolide,,Manufacturer,0.36,0,n/a,
Rosaphen,,Manufacturer,0.71,0,n/a,
Rose Blend,Middle,Manufacturer,0.46,0,n/a,
Rose De Mai / Marocco 5% in Coconut Oil,Middle,Manufacturer,2.35,0,n/a,
Rose Oxide,Base,Manufacturer,0.05,0,16409-43-1,"Green, vegetative, floral, herbal and slightly camphoreous with a spicy nuance."
Safraleine,Base,Manufacturer,0.58,0,54440-17-4,Herbal leather saffron iodine phenolic tobacco.
Sandalore (Givaudan),Base,Givaudan,0.88,1.2,65113-99-7,"Woody, sandalwood, sweet, warm. Not shipped by USPS (marine pollutant)."
Sandela,Base,Manufacturer,0,0,70955-71-4,Sandalwood clean sweet woody cashew.
Sanjitnol,,Manufacturer,0.38,0,n/a,
SantalIFF,Base,Manufacturer,0,0,28219-60-5,Sandalwood creamy woody waxy musky.
Seaweed ABS,,Manufacturer,0,0,n/a,
Siam Benzoin Gum,,Manufacturer,1.05,0,n/a,
Silvial,,Manufacturer,0.11,0,n/a,
Skatole 0.1,,Manufacturer,32.39,0,n/a,
Stemone,,Manufacturer,0.14,0,n/a,
Styrallyl Acetate,Middle,Manufacturer,0.15,0,93-92-5,"Green, fruity and musty with seedy, berry nuances."
Suederal,,Manufacturer,0.26,0,n/a,
Sylvamber,,Manufacturer,0.15,0,n/a,
Timbersilk,,Manufacturer,0,0,n/a,
Tobacco - Key Accord,Base,Perfumers Apprentice,0.81,0,n/a,"Light, elegant and true tobacco smelling blend."
Tolu Balsam,,Manufacturer,0.22,0,n/a,
Tomato Leaf Givco,,Manufacturer,0.75,0,n/a,
Tonalid,Base,Manufacturer,0.14,0,1506-02-1,Strong sweet amber fruity musk powdery.
Tonka Bean - Key Accord,Base,Perfumers Apprentice,0.75,0,n/a,"Warm, sweet, caramel, almond, tobacco, hay, chocolate. Coumarin forward."
Trans-2-Hexenal,,Manufacturer,0.51,0,n/a,
Triplal Extra,Middle,Manufacturer,0.1,2.5,68039-49-6,Green aldehydic leafy cortex tart floral peely.
Undecavertol,,Manufacturer,0.08,0,n/a,
Vanillin 10%,Base,Perfumers Apprentice,0.63,0,121-33-5,"Sweet, creamy - 10% Vanillin Crystals / 90% Ethyl Alcohol (CAS # 64-17-5)"
Vanillin Crystals (Natural),Base,Perfumers Apprentice,0.49,0,121-33-5,"Sweet, vanilla, vanillin, cream, phenolic, chocolate."
Velvione,Base,Manufacturer,0.97,0,37609-25-9,Dry powdery musk amber civet.
Veramoss / Evernyl,Base,Manufacturer,0.73,0,4707-47-5,Mossy oakmoss woody phenolic earthy.
Veratraldehyde,,Manufacturer,0,0,n/a,
Veratrole,,Manufacturer,0.51,0,n/a,
Verdoracine 10% in DPG,,Manufacturer,0.34,0,n/a,
Vertenex,Middle,Manufacturer,0,0,32210-23-4,Woody cedar floral oily herbal balsam green fruity.
Vertofix,Base,Manufacturer,0.15,0,32388-55-9,Woody vetiver amber leather musk cedar.
Vetikol Acetate,,Manufacturer,0.51,0,n/a,
Vetikone,,Manufacturer,0.65,0,n/a,
Vetiver Oil Haiti,,Manufacturer,0.78,0,n/a,
Vetiveryl Acetate,Base,Manufacturer,0.92,0,117-98-6,Woody powdery root vetiver sweet dry sandal.
Violet Leaf Absolute,Base,Manufacturer,0,0,n/a,
White Thyme E.O,,Manufacturer,1.02,0,n/a,
Ysamber K,,Manufacturer,0.63,0,n/a,
Zenolide,,Manufacturer,0.1,0,n/a,
